target_id,target_name,control_id,control_name,county_id,exclude_from_target,rgid
163,Maltby UGA,163,Maltby UGA,53061,0,5
164,Marysville UGA,164,Marysville UGA,53061,0,5
166,Monroe UGA,166,Monroe UGA,53061,0,5
167,Mountlake Terrace MUGA,167,Mountlake Terrace MUGA,53061,0,5
168,Paine Field Area,168,Paine Field Area,53061,0,5
169,Silver Firs Gap,169,Silver Firs Gap,53061,0,5
170,Snohomish UGA,170,Snohomish UGA,53061,0,5
172,Stanwood UGA,172,Stanwood UGA,53061,0,5
174,Sultan UGA,174,Sultan UGA,53061,0,5
175,Woodway MUGA,175,Woodway MUGA,53061,0,5
176,Snohomish Rural,176,Snohomish Rural,53061,0,6
62,King no growth UGA,201,King no growth UGA Bear Creek UPD,53033,1,5
30,Carnation,202,Carnation UGA,53033,1,4
32,Covington,203,Covington PAA,53033,1,4
33,Duvall,204,Duvall UGA,53033,1,4
34,Enumclaw,205,Enumclaw UGA,53033,1,4
62,King no growth UGA,206,King no growth UGA Milton PAA,53033,1,5
40,North Bend,207,North Bend UGA,53033,1,4
44,Snoqualmie,208,Snoqualmie UGA,53033,1,4
62,King no growth UGA,209,King no growth UGA Tukwila PAA,53033,1,5
176,Snohomish Rural,210,Tulalip Tribe,53061,1,6
64,King Rural,301,King Rural Ag & Resource,53033,1,6
76,Kitsap Rural,302,Kitsap Rural Ag & Resource,53035,1,6
124,Pierce Rural,303,Pierce Rural Ag & Resource,53053,1,6
176,Snohomish Rural,304,Snohomish Rural Ag & Resource,53061,1,6
65,Bremerton,401,NBK - Bremerton,53035,1,1
76,Kitsap Rural,402,NBK - Bangor,53035,1,6
107,Pierce UGA,405,JBLM - UGA,53053,1,5
125,Everett,404,Naval Station Everett,53061,1,1
124,Pierce Rural,403,JBLM - Rural,53053,1,6
