rgid_22,target_id,target_name,control_id,control_name,county_id
135,124,Pierce Rural,124,Pierce Rural,53053
136,124,Pierce Rural,124,Pierce Rural,53053
359,124,Pierce Rural,124,Pierce Rural,53053
47,125,Everett,125,Everett,53061
354,126,Bothell,126,Bothell,53061
99,127,Lynnwood,127,Lynnwood,53061
2,128,Arlington,128,Arlington,53061
17,129,Bothell MUGA,129,Bothell MUGA,53061
43,130,Edmonds,130,Edmonds,53061
44,131,Edmonds MUGA,131,Edmonds MUGA,53061
48,132,Everett MUGA,132,Everett MUGA,53061
98,133,Larch Way Overlap,133,Larch Way Overlap,53061
100,135,Lynnwood MUGA,135,Lynnwood MUGA,53061
103,136,Marysville,136,Marysville,53061
108,138,Mill Creek,138,Mill Creek,53061
109,139,Mill Creek MUGA,139,Mill Creek MUGA,53061
116,140,Mountlake Terrace,140,Mountlake Terrace,53061
118,141,Mukilteo,141,Mukilteo,53061
119,142,Mukilteo MUGA,142,Mukilteo MUGA,53061
20,143,Brier,143,Brier,53061
32,144,Darrington,144,Darrington,53061
60,145,Gold Bar,145,Gold Bar,53061
62,146,Granite Falls,146,Granite Falls,53061
65,147,Index,147,Index,53061
92,148,Lake Stevens,148,Lake Stevens,53061
114,149,Monroe,149,Monroe,53061
172,150,Snohomish,150,Snohomish,53061
189,151,Stanwood,151,Stanwood,53061
192,152,Sultan,152,Sultan,53061
206,153,Woodway,153,Woodway,53061
3,155,Arlington UGA,155,Arlington UGA,53061
21,156,Brier MUGA,156,Brier MUGA,53061
33,157,Darrington UGA,157,Darrington UGA,53061
61,158,Gold Bar UGA,158,Gold Bar UGA,53061
63,159,Granite Falls UGA,159,Granite Falls UGA,53061
94,161,Lake Stevens UGA,161,Lake Stevens UGA,53061
95,162,Lake Stickney Gap,162,Lake Stickney Gap,53061
101,163,Maltby UGA,163,Maltby UGA,53061
105,164,Marysville UGA,164,Marysville UGA,53061
115,166,Monroe UGA,166,Monroe UGA,53061
117,167,Mountlake Terrace MUGA,167,Mountlake Terrace MUGA,53061
129,168,Paine Field Area,168,Paine Field Area,53061
169,169,Silver Firs Gap,169,Silver Firs Gap,53061
182,170,Snohomish UGA,170,Snohomish UGA,53061
190,172,Stanwood UGA,172,Stanwood UGA,53061
193,174,Sultan UGA,174,Sultan UGA,53061
207,175,Woodway MUGA,175,Woodway MUGA,53061
174,176,Snohomish Rural,176,Snohomish Rural,53061
175,176,Snohomish Rural,176,Snohomish Rural,53061
176,176,Snohomish Rural,176,Snohomish Rural,53061
8,62,King no growth UGA,201,King no growth UGA Bear Creek UPD,53033
27,30,Carnation,202,Carnation UGA,53033
31,32,Covington,203,Covington PAA,53033
38,33,Duvall,204,Duvall UGA,53033
46,34,Enumclaw,205,Enumclaw UGA,53033
112,62,King no growth UGA,206,King no growth UGA Milton PAA,53033
124,40,North Bend,207,North Bend UGA,53033
184,44,Snoqualmie,208,Snoqualmie UGA,53033
185,44,Snoqualmie,208,Snoqualmie UGA,53033
202,62,King no growth UGA,209,King no growth UGA Tukwila PAA,53033
177,176,Snohomish Rural,210,Tulalip Tribe,53061
179,176,Snohomish Rural,210,Tulalip Tribe,53061
181,176,Snohomish Rural,210,Tulalip Tribe,53061
76,64,King Rural,301,King Rural Ag & Resource,53033
77,64,King Rural,301,King Rural Ag & Resource,53033
78,64,King Rural,301,King Rural Ag & Resource,53033
79,64,King Rural,301,King Rural Ag & Resource,53033
89,76,Kitsap Rural,302,Kitsap Rural Ag & Resource,53035
90,76,Kitsap Rural,302,Kitsap Rural Ag & Resource,53035
137,124,Pierce Rural,303,Pierce Rural Ag & Resource,53053
138,124,Pierce Rural,303,Pierce Rural Ag & Resource,53053
139,124,Pierce Rural,303,Pierce Rural Ag & Resource,53053
140,124,Pierce Rural,303,Pierce Rural Ag & Resource,53053
141,124,Pierce Rural,303,Pierce Rural Ag & Resource,53053
142,124,Pierce Rural,303,Pierce Rural Ag & Resource,53053
178,176,Snohomish Rural,304,Snohomish Rural Ag & Resource,53061
180,176,Snohomish Rural,304,Snohomish Rural Ag & Resource,53061
211,65,Bremerton,401,NBK - Bremerton,53035
210,76,Kitsap Rural,402,NBK - Bangor,53035
213,107,Pierce UGA,403,JBLM - UGA,53053
222,107,Pierce UGA,403,JBLM - UGA,53053
224,107,Pierce UGA,403,JBLM - UGA,53053
227,124,Pierce Rural,405,JBLM - Rural,53053
209,125,Everett,404,Naval Station Everett,53061
